country;title;description;url;source_name;feeling
Brazil;"Pedido de Pedro Pascal em cafeteria viraliza; entenda o motivo";Rótulo da bebida da estrela de 'The Mandalorian' chamou atenção enquanto ele dava um autógrafo para um fã;https://revistaquem.globo.com/noticias/noticia/2023/03/pedido-de-pedro-pascal-em-cafeteria-viraliza-entenda-o-motivo.ghtml;QUEM Acontece;P: positive
Brazil;Bebidas para ajudar o intestino preguiçoso!;Bebidas que auxiliam no combate ao intestino preguiçoso são fáceis e práticas de fazer e podem ser consumidas com frequência.;https://escolaeducacao.com.br/7-bebidas-para-consumir-com-poder-para-auxiliar-na-regulacao-intestinal/;Escola Educação;N: negative
Brazil;ChatGPT, junto com outras inteligências, são mantidas pelo esforço dos trabalhadores;As tecnologias são abastecidas por recursos humanos e causa desconforto social. Então, no futuro, trabalhadores serão substituídos?;https://escolaeducacao.com.br/chatgpt-junto-com-outras-inteligencias-sao-mantidas-pelo-esforco-dos-trabalhadores-questoes-sociais-podem-impactar-o-futuro/;Escola Educação;P: positive
Brazil;O Silicon Valley Bank quebrou. E pode não ser o único, diz a Gavekal;O Silicon Valley Bank soou o alarme, mas talvez não seja o único banco americano a enfrentar problemas de liquidez, disse a Gavekal.;https://braziljournal.com/o-silicon-valley-bank-quebrou-e-pode-nao-ser-o-unico-diz-a-gavekal/;Brazil Journal;N+: strong negative
Brazil;Beber café de estômago vazio faz mal?;Milhões de pessoas consomem café com frequência. Contudo, você sabe qual o efeito que a cafeína causa em seu sistema digestivo?;https://escolaeducacao.com.br/beber-cafe-de-estomago-vazio-faz-mal/;Escola Educação;N: negative
United States;George Santos Had Role in A.T.M. Fraud Scheme, Former Roommate Says;The former roommate, who pleaded guilty in 2017 and was deported, sent an affidavit to federal authorities accusing Mr. Santos of running a card-skimming operation.;https://www.nytimes.com/2023/03/10/nyregion/santos-atm-skimming.html;The New York Times;N: negative
United States;Donald Trump Access Hollywood tape can be used in civil rape trial, judge rules;E Jean Carroll can use tape of former president boasting of touching women’s genitals without consent in New York trial;https://www.theguardian.com/us-news/2023/mar/10/trump-access-hollywood-tape-evidence-jean-carroll-trial;The Guardian US;N+: strong negative
United States;Bears are trading the No. 1 pick to Panthers;The Bears are trading the first overall pick to the Panthers for big compensation, including multiple first round picks and DJ Moore.;https://bearswire.usatoday.com/2023/03/10/bears-nfl-draft-trade-no-1-pick-panthers-ryan-poles/;Chicago Bears Wire;NONE: without polarity
United States;Silicon Valley Bank is seized by US after historic failure;NEW YORK (AP) — U.S. regulators rushed to seize the assets of Silicon Valley Bank on Friday after a run on the bank, marking the largest failure of a financial institution since Washington Mutual collapsed at the height of the financial crisis more than a decade ago.;https://apnews.com/article/svb-fed-bonds-rates-banks-inflation-a24b28b3caeede91c76cd120aa9b7966;The Associated Press - en Español;N: negative
United States;Russia’s hypersonic missile attack on Ukraine highlights Western vulnerability;The advanced missiles had little real impact on the Ukraine conflict. But they have renewed alarm over the Kremlin’s sophisticated arsenal, and that Putin possesses difficult-to-intercept, nuclear-capable weapons that the United States and its allies do not yet have and cannot defend against.;https://www.washingtonpost.com/world/2023/03/10/russia-hypersonic-missiles-western-vulnerability/;The Washington Post;N: negative
Portugal;"Fecho do Silicon Valley Bank fez disparar o ""índice do medo"" em Wall Street";"A intervenção das autoridades norte-americanas no banco californiano Silicon Valley Bank (SVB), depois da sua derrocada em Wall Street (perda de mais de 60% na quinta-feira), fez disparar o chamado ""índice do medo"".";https://www.jn.pt/mundo/fecho-do-silicon-valley-bank-fez-disparar-o-designado-indice-do-medo-em-wall-street-15981754.html;Jornal de Notícias;N: negative
Portugal;Robô russo assustador vai visitar os seguidores do TikTok!;Veja as últimas notícias no nosso site: Robô russo assustador vai visitar os seguidores do TikTok!;https://www.leak.pt/robo-russo-assustador/;Leak;NEU: neutral
Portugal;FC Porto-Estoril: confira os onzes iniciais;O FC Porto recebe o Estoril, a partir das 20h15, na abertura da 24ª jornada da Liga Bwin;https://www.ojogo.pt/futebol/1a-liga/porto/noticias/fc-porto-estoril-confira-os-onzes-iniciais-15981056.html;O Jogo;NONE: without polarity
Portugal;Rotura obriga a suspender abastecimento de água no Porto, Maia e Matosinhos;Trabalhos de reparação arrancam às 21h30 e a situação vai ser normalizada até às 20h00 deste sábado.;https://www.tsf.pt/portugal/sociedade/rotura-vai-obrigar-a-suspender-abastecimento-de-agua-no-porto-maia-e-matosinhos-15981107.html;TSF Online;N: negative
Portugal;Pedidos de retorno ao Brasil por imigrantes em Portugal bate recorde em 2022;"A comunidade brasileira é a mais representativa ao nível dos pedidos de retorno, mas Vasco Malta, chefe de missão da Organização Internacional das Migrações (OIM) em Lisboa, destacou também ""a presença de Timor-Leste, cujo fluxo migratório já no ano de 2022 foi significativo"", e, de acordo com a sua expectativa, vai continuar a ser em 2023.";https://www.dn.pt/sociedade/pedidos-de-retorno-ao-brasil-por-imigrantes-em-portugal-bate-recorde-em-2022--15980275.html;Diário de Notícias;N: negative
